name,num,col,col1,col2,wish,day,price,day1,price1,price2,price3,min,brand,category,high/low,W1M0,line,scrap,disrupt,X,event,prm,emb
(W) Nike Dunk High Aluminum,DD1869-107,WHITE/ALUMINUM,white,blue,"5,072",2021.8.17,"129,000",2021.7.24,170000,150000,150750,132700,nike,dunk,high,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(W) Nike Dunk High Black and White,DD1869-103,WHITE/BLACK-UNIVERSITY RED,white,black,"10,000",2021.5.1,"129,000",2021.5.1,299500,315000,350000,214500,nike,dunk,high,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(W) Nike Dunk High Crimson Tint,DD1869-104,SAIL/CRIMSON TINT,white,pink,"1,381",2021.6.4,"129,000",2021.5.22,130000,130000,132500,123000,nike,dunk,high,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(W) Nike Dunk High Dark Sulfur,DD1869-106,WHITE/DARK SULFUR-WHITE,white,yellow,"2,607",2021.4.16,"129,000",2021.4.16,207692,197200,193455,160000,nike,dunk,high,1.0,sp,0.0,0.0,0.0,0.0,0.0,0.0
(W) Nike Dunk High Football Grey,DD1869-102,SAIL/FOOTBALL GREY-PALE IVORY,white,grey,"5,488",2021.1.7,"129,000",2021.1.6,166000,248667,246250,166000,nike,dunk,high,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(W) Nike Dunk High Moon Fossil,DD1869-002,BLACK/MOON FOSSIL-BLACK,black,brown,892,2021.11.26,"129,000",2021.11.16,149000,149000,143000,127000,nike,dunk,high,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(W) Nike Dunk High Orange Blaze,DD1869-100,WHITE/ORANGE BLAZE,white,orange,"2,821",2021.4.3,"129,000",2021.4.2,170600,173923,173923,160818,nike,dunk,high,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(W) Nike Dunk High Sail Gum,DD1869-109,WHITE/SAIL-GUM MEDIUM BROWN,white,ivory,"1,300",2021.10.9,"136,700",2021.11.7,120000,129000,150000,112000,nike,dunk,high,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(W) Nike Dunk High SE First Use Sail University Orange,DH6758-100,WHITE/SAIL-UNIVERSITY ORANGE,white,orange,"1,061",2021.7.14,"139,000",2021.7.14,150000,138000,132000,120000,nike,dunk,high,1.0,se,0.0,0.0,0.0,0.0,0.0,0.0
(W) Nike Dunk High SP Varsity Purple,DC5382-100,WHITE/VARSITY PURPLE,white,purple,"2,977",2020.12.3,"139,000",2020.12.2,187500,198850,193556,176143,nike,dunk,high,1.0,sp,0.0,0.0,0.0,0.0,0.0,0.0
(W) Nike Dunk High Team Red,DD1869-101,SAIL/TEAM RED/PALE IVORY,white,red,"4,019",2021.3.5,"129,000",2021.2.23,300000,300000,300000,213571,nike,dunk,high,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(W) Nike Dunk High Up Black and White,DH3718-104,WHITE/BLACK-DARK SMOKE GREY,white,black,"4,677",2021.10.1,"139,000",2021.10.1,166800,201800,206500,139333,nike,dunk,high,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
Nike Dunk High Barely Green,DD1398-300,BARELY GREEN/BLACK-WHITE,green,black,"2,933",2021.3.9,"129,000",2021.3.8,239000,208200,198273,152667,nike,dunk,high,0.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
Nike Dunk High Premium EMB Court Purple,DH0642-001,BLACK/OPTI YELLOW-COURT PURPLE-WHITE,purple,yellow,716,2021.4.29,"139,000",2021.4.28,185000,149818,138667,105000,nike,dunk,high,0.0,nm,0.0,0.0,0.0,0.0,0.0,1.0
Nike Dunk High Retro Black and White,DD1399-103,WHITE/BLACK-UNIVERSITY RED,white,black,"6,899",2021.5.1,"129,000",2021.4.23,300000,300000,300000,269000,nike,dunk,high,0.0,retro,0.0,0.0,0.0,0.0,0.0,0.0
Nike Dunk High Retro Championship Navy,DD1399-104,WHITE/MIDNIGHT NAVY-TOTAL ORANGE,white,navy,"16,000",2021.9.3,"129,000",2021.8.30,193333,182000,176500,165167,nike,dunk,high,0.0,retro,0.0,0.0,0.0,0.0,0.0,0.0
Nike Dunk High Retro Game Royal,DD1399-102,WHITE/GAME ROYAL,white,blue,"7,431",2021.6.11,"129,000",2021.6.9,235000,194154,190241,158000,nike,dunk,high,0.0,retro,0.0,0.0,0.0,1.0,0.0,0.0
Nike Dunk High Retro Orange Blaze,DD1399-101,WHITE/ORANGE BLAZE,white,orange,"8,105",2021.3.5,"129,000",2021.2.25,260000,260000,260000,186700,nike,dunk,high,0.0,retro,0.0,0.0,0.0,0.0,0.0,0.0
Nike Dunk High Retro PRM Dark Curry,DD1401-200,VELVET BROWN/DARK RUSSET-DARK CURRY-SAIL,brown,orange,756,2021.1.28,"139,000",2021.1.27,248000,247667,204667,176000,nike,dunk,high,0.0,retro,0.0,0.0,0.0,0.0,1.0,0.0
Nike Dunk High Retro PRM Light Chocolate,DH5348-100,SAIL/SAIL-KHAKI-LIGHT CHOCOLATE,brown,white,"1,404",2021.7.11,"139,000",2021.7.13,219000,260000,284000,200000,nike,dunk,high,0.0,retro,0.0,0.0,0.0,0.0,1.0,0.0
Nike Dunk High Retro Vast Grey,DD1399-100,WHITE/VAST GREY,white,gray,"8,927",2021.1.7,"129,000",2021.1.7,245308,242444,217565,185000,nike,dunk,high,0.0,retro,0.0,0.0,0.0,0.0,0.0,0.0
Nike Dunk High SE First Use Sail,DH0960-001,SAIL/GREEN,white,green,"1,746",2021.7.30,"139,000",2021.6.24,152000,148500,140000,126000,nike,dunk,high,0.0,se,0.0,0.0,0.0,0.0,0.0,0.0
Nike Dunk High SP Maize & Blue,CZ8149-700,VARSITY MAIZE/MIDNIGHT NAVY-MIDNIGHT NAVY,yellow,navy,"4,200",2020.9.23,"129,000",2020.9.22,300000,267294,281214,214000,nike,dunk,high,0.0,sp,0.0,0.0,0.0,0.0,0.0,0.0
Nike Dunk High SP Pure Platinum,CZ8149-101,WHITE/PURE PLATINUM,white,white,"3,591",2020.11.13,"129,000",2020.11.12,159000,141800,141250,117000,nike,dunk,high,0.0,sp,0.0,0.0,0.0,0.0,0.0,0.0
Nike Dunk High SP Spartan Green,CZ8149-100,WHITE/SPARTAN GREEN,white,green,"5,044",2020.9.23,"129,000",2020.9.22,265000,250640,271280,228615,nike,dunk,high,0.0,sp,0.0,0.0,0.0,0.0,0.0,0.0
Nike Dunk High SP Varsity Maize,CZ8149-002,BLACK/VARSITY MAIZE,black,yellow,"4,494",2020.12.9,"129,000",2020.12.8,200333,190841,180667,151727,nike,dunk,high,0.0,sp,0.0,0.0,0.0,0.0,0.0,0.0
Nike SB Dunk High Pro Baroque Brown,CV1624-200,BAROQUE BROWN,gray,brown,444,2021.1.31,"129,000",2021.1.31,189500,174500,166000,122000,nike,dunk,high,0.0,sb,0.0,0.0,0.0,0.0,0.0,0.0
Nike SB Dunk High Pro Hawaii,CZ2232-300,SAIL/BLUE-GREEN AQUA,blue,orange,472,2021.4.23,"139,000",2021.4.23,331750,329000,303000,255000,nike,dunk,high,0.0,sb,0.0,0.0,0.0,0.0,0.0,0.0
Nike SB Dunk High Pro Invert Celtics,CU7349-001,BLACK/PINK RISE-LUCKY GREEN,black,pink,570,2020.10.1,"139,000",2020.10.7,290000,280000,280000,205000,nike,dunk,high,0.0,sb,0.0,0.0,0.0,0.0,0.0,0.0
Nike SB Dunk High Pro Maize and Black,DB1640-001,VARSITY MAIZE/BLACK,black,yellow,"1,642",2021.7.17,"129,000",2021.7.3,217500,217500,185000,137000,nike,dunk,high,0.0,sb,0.0,0.0,0.0,0.0,0.0,0.0
Nike SB Dunk High Pro Test Pattern,CZ2253-100,BLACK/WHITE/MULTI,multi,black,622,2021.5.2,"139,000",2021.5.2,269600,269600,203875,142500,nike,dunk,high,0.0,sb,0.0,0.0,0.0,0.0,0.0,0.0
Nike SB Dunk High Sail Bright Crimson,CV9499-100,SAIL/BRIGHT CRIMSON,white,red,885,2020.7.4,"129,000",2020.6.1,249000,249000,189000,174000,nike,dunk,high,0.0,sb,0.0,0.0,0.0,0.0,0.0,0.0
Nike x Ambush Dunk High Black,CU7544-001,WHITE/BLACK/SPRUCE AURA,white,black,"7,018",2020.12.11,"219,000",2020.12.9,450000,538600,538091,450000,nike,dunk,high,0.0,nm,0.0,0.0,1.0,0.0,0.0,0.0
Nike x Ambush Dunk High Deep Royal Blue,CU7544-400,DEEP ROYAL BLUE/WHITE-PALE IVORY-BLACK,white,blue,"9,846",2021.5.18,"219,000",2021.5.16,719400,720000,712065,563500,nike,dunk,high,0.0,nm,0.0,0.0,1.0,0.0,0.0,0.0
Nike x Ambush Dunk High Flash Lime,CU7544-300,ATOMIC GREEN/FLASH LIME-BLACK,lime,lime,"2,559",2021.7.30,"219,000",2021.7.28,360000,303500,262282,226000,nike,dunk,high,0.0,nm,0.0,0.0,1.0,0.0,0.0,0.0
Nike x Bodega Dunk High Legend,CZ8125-200,FAUNA BROWN/RUSTIC/VELVET BROWN/MULTI-COLOR,white,brown,"1,209",2020.12.31,"142,200",2021.1.6,450000,396000,396000,356000,nike,dunk,high,0.0,nm,0.0,0.0,1.0,0.0,0.0,0.0
Nike x Concepts SB Dunk High Pro Mallard,DC6887-200,RATTAN/PARACHUTE BEIGE/ORANGE CHALK/BAROQUE BROWN,beige,brown,257,2020.11.26,"139,000",2020.11.22,320000,300000,260000,226333,nike,dunk,high,0.0,sb,0.0,0.0,1.0,0.0,0.0,0.0
Nike x Fragment Dunk High Black,DJ0382-600,WINE/BLACK-WHITE,black,black,"3,503",2021.6.5,"179,000",2021.6.4,287800,259000,263600,185000,nike,dunk,high,0.0,nm,0.0,0.0,1.0,0.0,0.0,0.0
Nike x Gundam SB Dunk High Pro QS Unicorn RX-0,DH7717-100,WHITE/AMARILLO,white,red,832,2021.9.24,"136,700",2021.10.7,670000,670000,670000,300000,nike,dunk,high,0.0,"sb,qs",0.0,0.0,1.0,0.0,0.0,0.0
Nike x Slam Jam Dunk High SP Clear Black,DA1639-101,WHITE/CLEAR/BLACK,white,black,"2,422",2020.10.30,"169,000",2020.10.30,462667,550000,550000,340000,nike,dunk,high,0.0,sp,0.0,0.0,1.0,0.0,0.0,0.0
Nike x Undercover Dunk High 1985 Gym Red,DD9401-600,GYM RED/WHITE-BLACK,red,black,"2,627",2021.7.28,"179,000",2021.7.28,225590,206077,196318,162000,nike,dunk,high,0.0,nm,0.0,0.0,1.0,1.0,0.0,0.0
Nike Air Force 1 '07 First Use Black White, DA8478-001 , BLACK/WHITE/BLACK/SAIL ,black,white,"4,000", 21/08/01 ,"129,000",2021.8.25,110000,110000,110000,110000,nike,Air Force,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 '07 Low University Blue,DC2911-400,UNIVERSITY BLUE/WHITE,blue,white,"1,549", 21/11/06 ,"129,000",2021.11.11,133500,133500,128000,125000,nike,Air Force,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 '07 LV8 Athletic Club Black Dark Sulfur, DH7568-002 , BLACK/DARK SULFUR-WHITE-BLACK ,white,black,"6,739", 22/01/11 ,"139,000",2022.1.11,200125,196480,197871,194600,nike,Air Force,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 '07 LV8 Coffee, DD5227-234 , BEACH/GRAIN/PALE IVORY/MAHOGANY ,beige,ivory,"2,077", 21/02/24 ,"139,000",2021.2.15,149000,158818,167429,149000,nike,Air Force,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 '07 LV8 EMB White and Court Purple, DB0264-100 , WHITE/COURT PURPLE/COURT PURPLE ,white,purple,"2,661", 21/09/10 ,"139,000",2021.9.10,143704,143125,140700,129000,nike,Air Force,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,1.0
Nike Air Force 1 '07 LV8 Paisley Swoosh, DJ4631-200 , RATTAN/PALE IVORY/BLACK ,ivory,beige,"9,094", 21/04/23 ,"139,000",2021.4.23,199000,207684,194786,147600,nike,Air Force,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 '07 LX Siempre Familia,DO2157-816,SPORT SPICE/GREEN NOISE-BLACK,black,orange,447, 21/10/29 ,"149,000",2021.10.20,214500,214500,214500,120000,nike,Air Force,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 '07 PRM Halloween,DC8891-001,BLACK/BLACK-STARFISH-SAIL,black,red,687, 21/10/21 ,"169,000",2021.10.21,177417,175400,166750,139000,nike,Air Force,low,0.0,NM,0.0,0.0,0.0,1.0,1.0,0.0
Nike Air Force 1 '07 QS LBJ, DC8877-200 , CREAM II/BLACK-SAIL-BLACK ,ivory,beige,"1,311", 21/12/06 ,"159,000",2021.12.6,154571,151833,153625,142429,nike,Air Force,low,0.0,QS,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 '07 QS Valentine's Day,DD3384-600,TULIP PINK/UNIVERSITY RED/WHITE,white,pink,"7,486", 21/02/06 ,"169,000",2021.2.6,222613,222000,203105,183500,nike,Air Force,low,0.0,QS,0.0,0.0,0.0,1.0,0.0,0.0
Nike Air Force 1 B Silver Snake, DJ6033-001 , BLACK/SILVER/BLACK ,black,gray,"7,611", 21/02/22 ,"169,000",2021.2.6,270000,270000,270000,181111,nike,Air Force,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 Low Gore-Tex Olive, DO2760-206 , OLIVE/BLACK ,gray,green,744, 21/12/09 ,"189,000",2021.12.10,202250,195500,195500,172000,nike,Air Force,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 Low QS Acorn 2021, DJ6395-100 , UNDERBRUSH/LIGHT BONE/ACORN ,beige,brown,"3,263", 21/04/29 ,"169,000",2021.4.29,168700,163000,161167,132000,nike,Air Force,low,0.0,QS,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 Luxe Black, DB4109-001 , BLACK/BLACK-BUCKTAN-GUM YELLOW ,black,black,501, 21/12/01 ,"169,000",2021.11.25,166000,166000,173000,166000,nike,Air Force,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 Mid '07 WB Flax, DJ9158-200 , FLAX/WHEAT-GUM LIGHT BROWN ,brown,brown,"2,958", 21/10/02 ,"179,000",2021.10.1,159000,174125,170000,152000,nike,Air Force,mid,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 Mid QS NYC Cool Grey, DH5622-001 , COOL GREY/WHITE/METALLIC SILVER ,gray,gray,"2,267", 21/09/29 ,"179,000",2021.9.26,229000,239000,249000,160000,nike,Air Force,mid,0.0,QS,0.0,0.0,0.0,0.0,0.0,0.0
Nike Air Force 1 Mid QS NYC White Midnight Navy, DH5622-100 , WHITE/WHITE-MIDNIGHT NAVY-GUM YELLOW ,white,white,"2,320", 21/12/03 ,"179,000",2021.10.25,230000,200000,200000,170000,nike,Air Force,mid,0.0,QS,0.0,0.0,0.0,0.0,0.0,0.0
Nike x Peaceminusone Air Force 1 Low Para-Noise, AQ3692-001 , BLACK/WHITE ,black,black,"9,023", 19/11/23 ,"219,000",2020.1.30,536667,536667,536667,536667,nike,Air Force,low,0.0,NM,0.0,0.0,1.0,0.0,0.0,0.0
Nike x Peaceminusone Air Force 1 Low Para-Noise 2,DD3223-100,WHITE/BLACK-WHITE,white,black,"210,000", 20/11/25 ,"219,000",2020.11.11,839333,842000,682833,535415,nike,Air Force,low,0.0,NM,0.0,0.0,1.0,0.0,0.0,0.0
Nike x Supreme Air Force 1 Low Flax, DN1555-200 , FLAX/FLAX-GUM LIGHT BROWN ,brown,brown,"6,299", 21/11/05 ,"178,400",2021.11.15,342500,320833,312000,251267,nike,Air Force,low,0.0,NM,0.0,0.0,1.0,0.0,0.0,0.0
Nike x Supreme Air Force 1 Low White, CU9225-100 , WHITE/WHITE-WHITE ,white,white,"260,000", 20/03/05 ,"114,200",2020.3.17,330000,330000,330000,268667,nike,Air Force,low,0.0,NM,0.0,0.0,1.0,0.0,0.0,0.0
(W) Nike Air Force 1 '07 LV8 Hangul Day, DO2701-715 , BEIGE ,white,yellow,"2,033", 21/10/09 ,"139,000",2021.10.7,170000,179000,155436,118500,nike,Air Force,low,1.0,NM,0.0,0.0,0.0,1.0,,
(W) Nike Air Force 1 '07 LX White Pendant, DD1525-100 , WHITE/WHITE-METALLIC GOLD ,white,white,"1,813", 21/11/04 ,"149,000",2021.11.1,169000,200000,200000,147500,nike,Air Force,low,1.0,NM,0.0,0.0,0.0,0.0,,
(W) Nike Air Force 1 '07 LX Photochromic, DA8301-100 , WHITE/UNIVERSITY BLUE-BLACK-WHITE ,white,pink,"1,436", 21/07/10 ,"149,000",2021.7.8,209000,239000,168129,168129,nike,Air Force,low,1.0,NM,0.0,0.0,0.0,0.0,,
(W) Nike Air Force 1 '07 LV8 Photon Dust Cashmere, DO7195-025 , PHOTON DUST/PALE IVORY/CASHMERE/RATTAN ,ivory,purple,"6,865", 21/09/14 ,"139,000",2021.9.20,142000,142000,142500,133000,nike,Air Force,low,1.0,NM,0.0,0.0,0.0,0.0,,
(W) Nike Air Force 1 Fontanka Pearl White, DA7024-200 , PEARL WHITE/PEARL WHITE/UNIVERSITY RED/PEARL WHITE ,beige,beige,"1,521", 21/10/18 ,"149,000",2021.10.17,219000,151333,154000,143500,nike,Air Force,low,1.0,NM,0.0,0.0,0.0,0.0,,
(W) Nike Air Force 1 '07 LX White University Blue, DA8301-101 , WHITE/WHITE-WHITE-UNIVERSITY BLUE ,white,blue,"1,730", 21/06/09 ,"149,000",2021.7.10,159000,159000,159000,145000,nike,Air Force,low,1.0,NM,0.0,0.0,0.0,0.0,,
